pID;Name;Type
pIB001;pTET-SPsuc2-EGII-AGA2-tTDH1;TU1
pIB002;pTET-SPplb1-EGII-AGA2-tTDH1;TU1
pIB003;pTET-SPksh1-EGII-AGA2-tTDH1;TU1
pIB004;pTET-SPsrl1-EGII-AGA2-tTDH1;TU1
pIB005;pTET-SPcrh1-EGII-AGA2-tTDH1;TU1
pIB006;pTET-SPost1p-EGII-AGA2-tTDH1;TU1
pIB007;pTET-SPsuc2-EGII-SED1-tTDH1;TU1
pIB008;pTET-SPplb1-EGII-SED1-tTDH1;TU1
pIB009;pTET-SPksh1-EGII-SED1-tTDH1;TU1
pIB010;pTET-SPsrl1-EGII-SED1-tTDH1;TU1
pIB011;pTET-SPcrh1-EGII-SED1-tTDH1;TU1
pIB012;pTET-SPost1p-EGII-SED1-tTDH1;TU1
pIB013;pTET-SPsuc2-EGII-TIP1-tTDH1;TU1
pIB014;pTET-SPplb1-EGII-TIP1-tTDH1;TU1
pIB015;pTET-SPksh1-EGII-TIP1-tTDH1;TU1
pIB016;pTET-SPsrl1-EGII-TIP1-tTDH1;TU1
pIB017;pTET-SPcrh1-EGII-TIP1-tTDH1;TU1
pIB018;pTET-SPost1p-EGII-TIP1-tTDH1;TU1
pIB019;pTET-SPsuc2-EGII-CWP2-tTDH1;TU1
pIB020;pTET-SPplb1-EGII-CWP2-tTDH1;TU1
pIB021;pTET-SPksh1-EGII-CWP2-tTDH1;TU1
pIB022;pTET-SPsrl1-EGII-CWP2-tTDH1;TU1
pIB023;pTET-SPcrh1-EGII-CWP2-tTDH1;TU1
pIB024;pTET-SPost1p-EGII-CWP2-tTDH1;TU1
pIB025;pTET-SPsuc2-CBHI-AGA2-tTDH1;TU2
pIB026;pTET-SPplb1-CBHI-AGA2-tTDH1;TU2
pIB027;pTET-SPksh1-CBHI-AGA2-tTDH1;TU2
pIB028;pTET-SPsrl1-CBHI-AGA2-tTDH1;TU2
pIB029;pTET-SPcrh1-CBHI-AGA2-tTDH1;TU2
pIB030;pTET-SPost1p-CBHI-AGA2-tTDH1;TU2
pIB031;pTET-SPsuc2-CBHI-SED1-tTDH1;TU2
pIB032;pTET-SPplb1-CBHI-SED1-tTDH1;TU2
pIB033;pTET-SPksh1-CBHI-SED1-tTDH1;TU2
pIB034;pTET-SPsrl1-CBHI-SED1-tTDH1;TU2
pIB035;pTET-SPcrh1-CBHI-SED1-tTDH1;TU2
pIB036;pTET-SPost1p-CBHI-SED1-tTDH1;TU2
pIB037;pTET-SPsuc2-CBHI-TIP1-tTDH1;TU2
pIB038;pTET-SPplb1-CBHI-TIP1-tTDH1;TU2
pIB039;pTET-SPksh1-CBHI-TIP1-tTDH1;TU2
pIB040;pTET-SPsrl1-CBHI-TIP1-tTDH1;TU2
pIB041;pTET-SPcrh1-CBHI-TIP1-tTDH1;TU2
pIB042;pTET-SPost1p-CBHI-TIP1-tTDH1;TU2
pIB043;pTET-SPsuc2-CBHI-CWP2-tTDH1;TU2
pIB044;pTET-SPplb1-CBHI-CWP2-tTDH1;TU2
pIB045;pTET-SPksh1-CBHI-CWP2-tTDH1;TU2
pIB046;pTET-SPsrl1-CBHI-CWP2-tTDH1;TU2
pIB047;pTET-SPcrh1-CBHI-CWP2-tTDH1;TU2
pIB048;pTET-SPost1p-CBHI-CWP2-tTDH1;TU2
pIB049;pTET-SPsuc2-BGL-AGA2-tTDH1;TU3
pIB050;pTET-SPplb1-BGL-AGA2-tTDH1;TU3
pIB051;pTET-SPksh1-BGL-AGA2-tTDH1;TU3
pIB052;pTET-SPsrl1-BGL-AGA2-tTDH1;TU3
pIB053;pTET-SPcrh1-BGL-AGA2-tTDH1;TU3
pIB054;pTET-SPost1p-BGL-AGA2-tTDH1;TU3
pIB055;pTET-SPsuc2-BGL-SED1-tTDH1;TU3
pIB056;pTET-SPplb1-BGL-SED1-tTDH1;TU3
pIB057;pTET-SPksh1-BGL-SED1-tTDH1;TU3
pIB058;pTET-SPsrl1-BGL-SED1-tTDH1;TU3
pIB059;pTET-SPcrh1-BGL-SED1-tTDH1;TU3
pIB060;pTET-SPost1p-BGL-SED1-tTDH1;TU3
pIB061;pTET-SPsuc2-BGL-TIP1-tTDH1;TU3
pIB062;pTET-SPplb1-BGL-TIP1-tTDH1;TU3
pIB063;pTET-SPksh1-BGL-TIP1-tTDH1;TU3
pIB064;pTET-SPsrl1-BGL-TIP1-tTDH1;TU3
pIB065;pTET-SPcrh1-BGL-TIP1-tTDH1;TU3
pIB066;pTET-SPost1p-BGL-TIP1-tTDH1;TU3
pIB067;pTET-SPsuc2-BGL-CWP2-tTDH1;TU3
pIB068;pTET-SPplb1-BGL-CWP2-tTDH1;TU3
pIB069;pTET-SPksh1-BGL-CWP2-tTDH1;TU3
pIB070;pTET-SPsrl1-BGL-CWP2-tTDH1;TU3
pIB071;pTET-SPcrh1-BGL-CWP2-tTDH1;TU3
pIB072;pTET-SPost1p-BGL-CWP2-tTDH1;TU3
pIB073;pCCW12-AGA1-tPGK1;TU4
pIB074;pRAD27-rtTA-tENO2;TU5
pIB075;pUPR-Venus-tADH1;TU6
