plasmid_id,h2o_volume,buffer,mastermix,AmpRS1__10x__,Venus__10x__,pALD6__10x__,pREV1__10x__,pTDH3__10x__,pTEF2__10x__,tADH1__10x__,AmpRS1,Venus,pALD6,pREV1,pTDH3,pTEF2,tADH1
mastermix,0,8.0,,4.0,4.0,,,,,4.0,,,,,,,
AmpRS1__10x__,7.833,,,,,,,,,,2.0,,,,,,
Venus__10x__,11.607,,,,,,,,,,,2.0,,,,,
pALD6__10x__,5.826,,,,,,,,,,,,1.0,,,,
pREV1__10x__,5.827,,,,,,,,,,,,,1.0,,,
pTDH3__10x__,5.884,,,,,,,,,,,,,,1.0,,
pTEF2__10x__,5.826,,,,,,,,,,,,,,,1.0,
tADH1__10x__,7.518,,,,,,,,,,,,,,,,1.0
pSA001,4.0,,5.0,,,,,1.0,,,,,,,,,
pSA002,4.0,,5.0,,,,,,1.0,,,,,,,,
pSA003,4.0,,5.0,,,1.0,,,,,,,,,,,
pSA004,4.0,,5.0,,,,1.0,,,,,,,,,,
